CDT	ID	PT	WT	TID
26:4	233	24:18	0:17	3
26:6	247	25:4	0:14	6
26:8	172	18:15	5:21	9
26:9	235	24:19	0:15	9
26:16	250	25:11	0:6	9
26:17	244	25:9	0:20	4
26:21	259	26:17	0:2	7
27:2	251	25:9	1:0	7
27:2	245	25:12	0:22	4
27:7	241	24:17	1:6	7
27:9	256	26:14	0:8	5
27:12	243	25:16	0:23	5
27:15	253	26:10	0:6	7
27:20	226	23:20	2:9	7
28:0	261	26:15	0:15	3
28:4	264	27:13	0:10	6
28:7	254	26:22	0:15	3
28:11	280	28:3	0:4	8
28:13	268	27:4	0:15	6
28:15	265	27:8	0:2	8
28:21	263	27:1	0:6	8
28:23	269	27:20	0:2	8
28:23	277	28:7	0:8	4
29:0	273	28:0	0:16	2
29:1	258	26:22	0:14	8
29:5	267	27:17	0:18	4
29:7	270	27:7	1:3	2
29:21	275	28:11	0:1	9
30:2	291	29:10	0:4	9
30:4	278	28:20	0:14	1
30:5	281	28:18	0:23	5
30:10	279	28:19	0:10	9
30:11	287	29:11	0:9	5
30:12	285	29:22	0:10	3
30:12	274	28:22	0:18	1
30:18	262	27:14	1:5	9
30:22	290	29:4	0:19	1
30:23	282	29:20	0:9	3
31:0	286	29:23	0:14	6
31:0	272	28:14	1:6	9
31:1	301	30:4	0:12	2
31:3	239	24:16	6:5	7
31:4	283	29:23	0:10	2
31:5	289	29:18	0:12	2
31:8	299	30:10	0:12	4
31:9	260	26:6	4:8	7
31:9	294	30:3	0:17	6
31:11	242	25:2	5:13	7
31:12	298	30:22	0:10	1
31:14	297	30:6	0:3	7
31:14	296	30:15	0:14	4
31:15	295	30:7	0:23	1
31:17	248	25:13	4:16	7
31:23	293	30:16	0:20	5
32:4	305	31:0	0:21	3
32:5	300	30:17	0:23	5
32:8	307	31:3	0:19	3
32:15	309	31:15	0:16	6
32:16	302	31:0	0:20	8
32:17	310	31:3	1:2	6
32:21	306	31:2	0:14	8
33:2	311	31:4	0:7	8
33:5	321	32:5	0:3	8
33:7	304	31:22	0:21	4
33:8	314	32:8	0:13	2
33:9	320	32:0	0:23	5
33:10	317	32:3	0:9	8
33:12	313	32:15	0:14	2
33:13	308	31:19	0:17	4
33:16	322	33:8	0:4	9
33:17	303	31:16	1:2	2
33:17	315	32:21	0:12	3
33:17	312	32:20	0:9	5
33:18	318	32:12	0:2	9
33:19	316	32:15	0:16	1
33:20	330	33:2	0:8	3
34:0	116	12:18	20:1	9
34:2	325	33:3	0:15	1
34:4	140	14:8	18:21	9
34:4	328	33:11	0:10	6
34:6	215	22:8	10:13	9
34:10	331	33:7	0:9	6
34:10	319	32:20	0:16	1
34:16	324	33:21	0:17	2
35:0	323	33:12	1:0	2
35:3	329	33:11	0:20	2
35:16	339	34:17	0:2	7
35:21	341	34:22	0:16	4
35:23	336	34:16	0:23	1
36:0	344	35:11	0:6	4
36:0	333	34:8	0:7	7
36:4	348	35:1	0:4	7
36:7	332	34:23	0:22	1
36:11	345	35:14	0:8	1
36:11	346	35:7	0:7	7
36:20	350	35:13	0:16	5
36:20	327	33:13	0:7	7
36:23	335	34:2	2:10	8
37:2	359	36:2	0:12	2
37:4	338	34:16	2:0	8
37:7	347	35:19	0:10	8
37:7	358	36:7	0:11	2
37:8	343	35:16	0:20	5
37:9	356	36:3	0:12	2
37:12	351	35:9	0:11	8
37:13	342	35:13	0:3	8
37:15	354	36:17	0:12	3
37:20	366	37:12	0:4	1
38:0	360	36:22	0:14	3
38:3	353	36:22	0:15	1
38:8	355	36:16	0:17	1
38:9	364	37:23	0:8	9
38:12	377	38:1	0:4	9
38:12	361	36:23	0:20	6
38:15	369	37:3	0:3	9
38:17	367	37:21	0:15	2
38:19	380	38:9	0:7	4
38:19	334	34:10	3:7	9
38:21	368	37:14	0:15	2
38:22	363	37:15	0:14	6
39:3	352	36:7	1:6	9
39:4	365	37:16	0:17	2
39:4	373	38:4	0:10	4
39:8	375	38:15	0:1	7
39:9	378	38:1	0:8	7
39:13	386	39:0	0:5	7
39:15	370	37:22	0:12	7
39:15	372	38:2	1:7	1
39:22	94	10:23	28:0	7
40:8	385	39:20	0:9	5
40:13	391	39:5	0:17	5
40:14	376	38:22	1:7	2
40:19	389	39:15	0:3	8
41:0	388	39:10	1:3	1
41:3	383	39:3	1:2	8
41:4	382	39:2	1:4	8
41:6	384	39:21	0:23	1
41:9	393	40:10	0:5	8
41:12	387	39:14	1:0	1
41:14	399	40:0	0:10	8
41:16	390	39:23	1:6	3
41:23	397	40:20	0:21	6
42:0	395	40:20	0:19	4
42:4	394	40:17	0:15	4
42:8	374	38:16	2:3	9
42:8	407	41:9	0:12	6
42:11	408	41:22	0:7	9
42:18	411	41:6	0:7	9
43:0	416	42:1	0:14	5
43:1	417	42:8	0:9	2
43:1	189	19:2	22:3	9
43:3	340	34:21	6:18	9
43:6	403	41:15	0:22	2
43:11	420	42:8	0:12	2
43:11	418	42:11	0:9	5
44:3	414	42:19	0:10	7
44:6	419	42:13	1:9	3
44:9	424	43:16	0:6	7
44:15	427	43:20	0:10	6
44:16	231	23:8	19:5	7
44:19	422	43:12	0:3	7
44:20	432	44:8	0:7	4
44:21	429	43:21	0:10	6
45:1	134	14:14	28:3	7
45:2	438	44:5	0:7	4
45:12	439	44:5	0:7	8
45:18	433	44:20	0:9	8
45:18	441	44:1	1:10	1
45:19	437	44:17	0:1	8
45:22	423	43:15	0:23	8
46:0	412	42:22	1:15	8
46:1	431	43:4	2:7	9
46:2	440	44:2	1:10	9
46:2	435	44:14	0:22	5
46:3	451	45:7	0:11	2
46:4	436	44:16	0:21	9
46:7	428	43:11	2:9	9
46:8	448	45:11	0:10	2
46:9	449	45:8	0:11	5
46:11	444	45:1	0:13	2
46:12	434	44:15	1:2	9
46:13	443	45:19	0:14	3
46:23	442	45:14	0:15	3
47:1	450	45:19	0:17	4
47:7	454	46:0	0:17	4
47:11	452	46:21	0:8	6
47:12	457	46:8	0:14	6
47:21	471	47:5	0:6	7
47:21	468	47:0	0:10	5
47:23	469	47:2	0:11	1
48:1	463	47:1	0:12	5
48:1	459	46:16	0:7	7
48:3	467	47:4	0:16	3
48:5	458	46:19	0:14	1
48:6	466	47:17	0:5	3
48:6	460	46:16	0:13	7
48:11	456	46:5	0:4	7
48:12	465	47:10	0:9	1
48:15	453	46:13	1:1	7
48:22	472	48:3	0:11	6
49:5	455	46:8	1:21	8
49:6	464	47:20	0:14	6
49:12	478	48:9	0:11	8
49:15	480	48:20	0:3	8
49:21	486	49:17	0:2	2
49:21	477	48:6	0:5	8
50:3	483	49:10	0:8	2
50:4	462	47:11	0:9	8
50:4	475	48:16	0:18	4
50:9	481	48:14	1:1	9
50:10	482	49:0	0:16	4
50:11	490	49:3	1:2	5
50:17	474	48:10	1:19	9
50:19	488	49:19	0:1	9
50:21	485	49:4	1:8	3
50:21	484	49:2	0:21	5
50:22	473	48:14	0:17	9
50:23	491	49:16	0:22	6
51:2	479	48:5	1:6	9
51:9	487	49:16	1:5	6
51:10	497	50:2	0:21	4
51:11	499	50:23	0:6	7
51:12	492	50:6	0:23	4
51:15	496	50:12	0:19	5
51:16	29	3:21	46:21	7
51:19	209	21:4	30:3	7
51:20	498	50:19	0:16	5
52:3	22	3:21	46:16	7
52:8	476	48:9	2:13	7
52:10	246	25:7	26:11	8
52:14	229	23:17	27:20	8
52:16	404	41:19	9:15	8
53:0	400	40:13	11:16	8
53:3	257	26:20	25:1	8
53:8	349	35:0	17:10	9
53:13	425	43:21	9:8	9
53:19	284	29:10	23:6	9
53:23	25	3:15	49:4	9
54:0	187	19:4	33:3	9
54:9	409	41:8	12:21	7
54:14	276	28:4	25:7	7
54:16	398	40:22	12:19	7
54:21	165	17:11	36:5	7
55:4	495	50:23	3:0	7
55:12	446	45:16	9:13	8
55:17	167	17:5	37:13	8
55:22	379	38:1	16:12	8
56:5	64	7:14	47:9	8
56:7	266	27:16	26:16	8
56:13	271	27:16	28:5	9
56:15	371	37:21	18:9	9
56:18	405	41:23	13:15	9
57:1	381	38:21	17:8	9
57:7	204	21:23	33:13	9
57:10	177	18:1	39:4	7
57:13	470	47:6	9:9	7
57:18	110	11:22	44:14	7
57:22	392	40:11	16:8	7
58:1	413	42:18	14:14	8
58:1	493	50:3	6:6	7
58:3	83	9:11	47:22	8
58:7	461	46:1	11:12	8
58:12	28	3:14	54:3	8
58:18	406	41:21	16:2	8
59:8	415	42:9	16:8	9
59:12	186	19:18	39:11	9
59:18	402	41:14	17:7	9
59:21	97	10:13	48:1	9
60:3	426	43:18	14:17	9
....................................
....................................
Cargos: 468 [N: 82, S: 161, V: 225]
Cargo Avg Wait: 3:9
Auto-promoted Cargos: 16.2963% from total 135
Trucks: 9 [N: 2, S: 4, V: 3]
Avg Active time: 37.6231% of total time 59:6
Avg utilization: 35.6789%
